,Unnamed: 0,n,composition,MagpieData mean Number,MagpieData avg_dev Number,MagpieData minimum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mean MeltingT,MagpieData mean Row,MagpieData avg_dev Row,MagpieData range CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData avg_dev NValence,MagpieData mean NsUnfilled,MagpieData avg_dev NpUnfilled,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean GSmagmom,MagpieData mean SpaceGroupNumber,label,distance
0,0,2411.5,Fe0.62 C0.000953 Mn0.000521 Si0.00102 Cr0.00011 Ni0.192 Mo0.0176 V0.000112 Nb6.16e-05 Co0.146 Al0.00318 Ti0.0185,26.664768709322345,1.152116232529968,43.0,35.0,56.37786283510068,2.4375560658639803,1809.275474332678,4.011554934435776,0.034913031749309,88.0,3.9399107507766327,1.0099999999999998,1.852958489591,0.0420300270733954,0.0071255895660409,6.406368393180552,0.7852497358251623,0.7924453324685555,0.0177705764147985,0.0473360872121033,0.778513225493503,10.801998865279154,0.4471504578357417,0.0050728558035057,1.6489091148745292,222.42051197851,2,1.0881845923557878
1,1,1123.1,Fe0.623 C0.00854 Mn0.000104 Si0.000203 Cr0.147 Ni9.71e-05 Mo0.0179 V0.00515 N0.00163 Nb6.14e-05 Co0.188 W0.00729 Al0.000845,26.30074418358095,1.522817104768862,46.0,36.0,54.76849684518371,2.0138017572215654,1905.8335465716093,4.01115540239473,0.0645310042592036,93.0,3.493830342205173,1.49,1.831064827136471,0.0541609592045254,0.0232251689178207,5.9257160660338535,0.4969805748462512,0.7380264175308973,0.1649910158873517,0.0872003389470652,0.6609886696351783,10.816101105613974,0.4106621879861399,0.0490538741704135,1.6064017041838228,222.0573813999613,0,0.0
2,2,1736.3,Fe0.625 Mn0.000102 Si0.0002 Cr0.0936 Ni0.129 Mo0.0048 V0.00011 Nb6.04e-05 Co0.132 Al0.00812 Ti0.00669,26.14540017909688,0.8583723194991346,43.0,35.0,55.65330829071312,2.2903494372715514,1828.156056763628,3.99653930088196,0.0165876822145471,53.0,3.3164405745724017,0.6200000000000001,1.8288146715396807,0.0391606927523068,0.0085227068116833,6.214435304652757,0.6682770157514629,0.7152557406988165,0.0984916809578722,0.0821369718393757,0.6978725406435815,10.769146886844366,0.3033420633062306,0.0001546491165594,1.6008769856109406,223.5940290636306,1,0.0
3,3,2487.3,Fe0.634 C0.000478 Mn0.000523 Si0.00102 Cr0.000111 Ni0.173 Mo0.0237 V0.000113 Nb6.19e-05 Co0.146 Al0.00277 Ti0.0176,26.74329764876495,1.2354785980020062,43.0,35.0,56.22715343930803,2.3277235284941464,1816.761991296777,4.019027756194886,0.0466485954599772,88.0,3.828545649258624,1.0099999999999998,1.8534756406717028,0.0426191388495798,0.0057695950346661,6.371426635936853,0.7474955707624307,0.7590621827835521,0.0238877844785085,0.0395391599374925,0.7481566605558603,10.834815062851874,0.4888915827242767,0.0029393795273835,1.6682803577707146,222.5418499266893,2,0.582804179473305
4,4,2249.6,Fe0.636 C0.000474 Mn0.000518 Si0.00101 Cr0.000109 Ni0.188 Mo0.0086 V0.000112 Nb6.12e-05 Co0.144 Al0.00274 Ti0.0184,26.526613255959216,0.9582194036684942,43.0,35.0,56.37543911437344,2.360987582518321,1799.3393937866706,4.0039631040928825,0.0172533319950286,88.0,3.726511752737566,1.0099999999999998,1.8493506657138896,0.0377399404333009,0.0057078618697427,6.4113606450723895,0.7668379741929584,0.7688711765847719,0.008769987766296,0.0391051727411377,0.7576527755619512,10.759184603387771,0.3554671527964028,0.0029117635353224,1.6772555828707454,222.52837061343124,2,1.9955217618383805
5,5,1328.3,Fe0.636 C0.00881 Mn0.000203 Si0.00972 Cr0.135 Ni0.00892 Mo0.0114 V0.000109 Nb6e-05 Co0.19 Al0.00062,25.819861676468417,1.086296287067615,46.0,32.0,55.18283605204417,2.022674792086512,1880.2293323022016,3.983513881311936,0.0552420678331308,88.0,3.517116381744262,0.9999999999999998,1.8278221937128936,0.0457268495275055,0.0376483001312894,5.945935522290231,0.5055333683627187,0.686873058960439,0.146336784427512,0.1513575191107852,0.5623709721421386,10.80652197849411,0.4102120671923611,0.0470836755451909,1.6405207340204548,221.98751850941508,25,1.3238595003818132
6,6,2501.1,Fe0.644 Mn0.000521 Si0.00102 Cr0.00011 Ni0.177 Mo0.0215 V0.000112 Nb6.17e-05 Co0.126 Al0.00234 Ti0.0269,26.673881840765283,1.2129465239460524,43.0,35.0,56.07202205119889,2.355335926518234,1815.5256281059144,4.018209626650481,0.0423565768039838,53.0,3.836678289273472,0.6200000000000001,1.849117750956992,0.0428250211486661,0.0043819074443105,6.329793158962096,0.760476381037635,0.7709642800151747,0.021681137799284,0.0314676100706531,0.7628125446590137,10.88735102231381,0.5660457909328084,0.0007888033661052,1.660482652118013,222.9202014636972,5,0.30241591832809517
7,7,1228.9,Fe0.646 C0.00479 Mn0.00597 Si0.00492 Cr0.135 Ni9.8e-05 Mo0.0534 V0.000113 N0.000821 Nb6.19e-05 Co0.148 Al0.00064,26.548558586753,1.786246592710755,46.0,36.0,54.60031841925783,2.037711591812575,1917.7893734524,4.036686727399971,0.1030202877723872,93.0,4.002436557390856,1.49,1.8350181468771345,0.0575156183281474,0.0225271923104889,5.886316043415681,0.4770331809863722,0.7406747964893067,0.1884969792878455,0.0880279108971468,0.6762734094806907,11.01485633016824,0.6539564743625882,0.0306294771456968,1.5930185672564845,223.5381665527955,3,1.0833996809073767
8,8,1088.6,Fe0.648 C0.000453 Mn9.91e-05 Si0.0386 Cr0.183 Ni0.0195 Mo0.000113 V0.000107 Nb5.86e-05 Co0.109 Al0.000605 Ti0.000569,25.30193898698806,1.3855572599020949,43.0,35.0,55.245508195291954,2.622469093278126,1868.072122098816,3.960064781217407,0.0770464314256693,88.0,3.1877556797168176,1.0099999999999998,1.808606953851932,0.0550442976208597,0.0787027598210467,5.724154581015367,0.7243121002062428,0.8865054469414578,0.1831524239412133,0.3058132616864503,0.6575142309197154,11.133864922135754,0.7539488196962204,0.0318711510904808,1.5479410259790072,224.99084055899343,17,1.5579535299923857
9,9,1502.0,Fe0.648 C0.00751 Mn0.000103 Si0.000201 Cr0.158 Ni9.61e-05 Mo0.0288 V0.00531 N0.00201 Nb6.07e-05 Co0.149 Al0.000836,26.07720535143172,1.1944143965664962,46.0,36.0,54.5461197759676,2.106784956595744,1906.982492338439,4.008784343013908,0.0572185438205643,93.0,3.553046912809964,1.49,1.8266660929580043,0.0552058965398304,0.0222896316010331,5.882887227345041,0.4851201794840466,0.747519107954118,0.1868743792045577,0.081247069674059,0.6888660444881032,10.862418035879536,0.4342583239034672,0.0468621333081581,1.5986059705301443,223.44602704918,15,0.7573052026403133
