,n,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
0,63.593833333333016,Hf2 Si2 Te2,14.0,72.0,58.0,46.0,21.333333333333332,14.0,45.0,90.0,45.0,71.0,17.333333333333332,45.0,28.0855,178.49,150.4045,111.39183333333334,55.53755555555555,28.0855,722.66,2506.0,1783.3400000000001,1638.5533333333333,610.5955555555556,722.66,4.0,16.0,12.0,11.333333333333334,4.888888888888888,4.0,3.0,6.0,3.0,4.666666666666667,1.111111111111111,3.0,111.0,175.0,64.0,141.33333333333334,22.444444444444446,111.0,1.3,2.1,0.8,1.7666666666666668,0.31111111111111106,1.3,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,1.3333333333333333,0.0,0.0,10.0,10.0,4.0,4.0,0.0,0.0,14.0,14.0,4.666666666666667,6.222222222222222,0.0,4.0,18.0,14.0,12.666666666666666,5.777777777777779,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.3333333333333333,0.0,0.0,8.0,8.0,2.6666666666666665,3.5555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.666666666666667,2.2222222222222223,2.0,20.44,34.7633333333,14.323333333299995,25.8011111111,5.974814814799998,20.44,0.0,0.773,0.773,0.4123333333333334,0.2748888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,227.0,75.0,191.0,26.0,152.0
1,134.86375000000007,As4,33.0,33.0,0.0,33.0,0.0,33.0,84.0,84.0,0.0,84.0,0.0,84.0,74.9216,74.9216,0.0,74.9216,0.0,74.9216,1090.0,1090.0,0.0,1090.0,0.0,1090.0,15.0,15.0,0.0,15.0,0.0,15.0,4.0,4.0,0.0,4.0,0.0,4.0,119.0,119.0,0.0,119.0,0.0,119.0,2.18,2.18,0.0,2.18,0.0,2.18,2.0,2.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,3.0,0.0,3.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,22.175,22.175,0.0,22.175,0.0,22.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,166.0,0.0,166.0,0.0,166.0
2,43.11466666666686,Ti2 Br2 O2,8.0,35.0,27.0,21.666666666666668,9.11111111111111,8.0,43.0,95.0,52.0,75.0,21.333333333333332,43.0,15.9994,79.904,63.904599999999995,47.92346666666666,21.320355555555555,15.9994,54.8,1941.0,1886.2,753.8666666666668,791.4222222222223,54.8,4.0,17.0,13.0,12.333333333333334,5.5555555555555545,4.0,2.0,4.0,2.0,3.3333333333333335,0.8888888888888888,2.0,66.0,160.0,94.0,115.33333333333333,32.88888888888889,66.0,1.54,3.44,1.9,2.6466666666666665,0.7377777777777778,1.54,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,10.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,13.0,9.0,5.333333333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6666666666666666,0.0,0.0,8.0,8.0,2.6666666666666665,3.5555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,3.6666666666666665,2.888888888888889,1.0,9.105,29.48,20.375,18.425,7.37,9.105,0.0,1.457,1.457,0.4856666666666667,0.6475555555555556,0.0,0.0,2.25333333333e-05,2.25333333333e-05,7.5111111111e-06,1.00148148148e-05,0.0,12.0,194.0,182.0,90.0,69.33333333333333,12.0
3,240.71548750000002,In2 Bi2,49.0,83.0,34.0,66.0,17.0,49.0,75.0,86.0,11.0,80.5,5.5,75.0,114.818,208.9804,94.1624,161.8992,47.0812,114.818,429.75,544.4,114.64999999999998,487.075,57.32499999999999,429.75,13.0,15.0,2.0,14.0,1.0,13.0,5.0,6.0,1.0,5.5,0.5,5.0,142.0,148.0,6.0,145.0,3.0,142.0,1.78,2.02,0.24,1.9,0.12,1.78,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,7.0,7.0,0.0,13.0,29.0,16.0,21.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,24.26,32.95,8.690000000000001,28.605000000000004,4.345000000000001,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,139.0,127.0,75.5,63.5,12.0
4,67.44283333333368,Nb1 O2,8.0,41.0,33.0,19.0,14.666666666666666,8.0,47.0,87.0,40.0,73.66666666666667,17.777777777777775,87.0,15.9994,92.90638,76.90698,41.63506,34.18088,15.9994,54.8,2750.0,2695.2,953.1999999999999,1197.8666666666668,54.8,5.0,16.0,11.0,12.333333333333334,4.888888888888888,16.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,66.0,164.0,98.0,98.66666666666667,43.555555555555564,66.0,1.6,3.44,1.8399999999999999,2.8266666666666667,0.8177777777777777,3.44,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,5.666666666666667,0.44444444444444436,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,6.0,6.0,2.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.6666666666666665,2.222222222222222,2.0,9.105,18.18,9.075,12.13,4.033333333333333,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,84.33333333333333,96.44444444444446,12.0
5,66.30685000000014,Sb2 As2 O6,8.0,51.0,43.0,21.6,16.32,8.0,84.0,87.0,3.0,86.0,1.2,87.0,15.9994,121.76,105.76060000000001,48.93596,39.523872,15.9994,54.8,1090.0,1035.2,431.63599999999997,452.2031999999999,54.8,15.0,16.0,1.0,15.6,0.4800000000000001,16.0,2.0,5.0,3.0,3.0,1.2,2.0,66.0,139.0,73.0,91.2,30.24,66.0,2.05,3.44,1.3900000000000001,2.91,0.6359999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.6,0.48,4.0,0.0,10.0,10.0,4.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0,9.6,4.32,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,9.105,31.56,22.455,16.21,8.526,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,166.0,154.0,73.6,73.92,12.0
6,45.94237500000009,Mo2 O6,8.0,42.0,34.0,16.5,12.75,8.0,50.0,87.0,37.0,77.75,13.875,87.0,15.9994,95.96,79.9606,35.989549999999994,29.985224999999993,15.9994,54.8,2896.0,2841.2,765.1,1065.45,54.8,6.0,16.0,10.0,13.5,3.75,16.0,2.0,5.0,3.0,2.75,1.125,2.0,66.0,154.0,88.0,88.0,33.0,66.0,2.16,3.44,1.2799999999999998,3.12,0.47999999999999987,3.44,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,3.0,1.5,4.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,2.0,2.0,1.5,0.75,2.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.0,1.5,2.0,9.105,15.69,6.584999999999999,10.75125,2.469375,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,66.25,81.375,12.0
7,89.47600000000034,Te6 Cr2 Ge2,24.0,52.0,28.0,42.4,11.52,52.0,49.0,90.0,41.0,79.6,12.48,90.0,51.9961,127.6,75.6039,101.48722,31.335335999999995,127.6,722.66,2180.0,1457.3400000000001,1111.8759999999997,467.0592,722.66,6.0,16.0,10.0,13.6,3.04,16.0,4.0,5.0,1.0,4.6,0.4800000000000001,5.0,120.0,139.0,19.0,134.6,5.840000000000003,138.0,1.66,2.1,0.44000000000000017,1.9940000000000002,0.13359999999999989,2.1,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.8,1.44,4.0,5.0,10.0,5.0,9.0,1.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,10.0,13.6,3.04,16.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,2.0,0.8,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.2,1.44,2.0,11.19,34.7633333333,23.5733333333,27.69699999998,8.479599999983998,34.7633333333,0.0,0.464,0.464,0.35500000000000004,0.142,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,229.0,77.0,182.0,36.0,152.0
8,36.73083333333338,Zr2 Br2 N2,7.0,40.0,33.0,27.333333333333332,13.555555555555557,7.0,44.0,95.0,51.0,73.66666666666667,19.777777777777775,44.0,14.0067,91.224,77.21730000000001,61.71156666666666,31.803244444444445,14.0067,63.05,2128.0,2064.95,818.9500000000002,872.6999999999999,63.05,4.0,17.0,13.0,12.0,5.333333333333333,4.0,2.0,5.0,3.0,3.6666666666666665,1.1111111111111112,2.0,71.0,175.0,104.0,122.0,35.333333333333336,71.0,1.33,3.04,1.71,2.4433333333333334,0.7422222222222222,1.33,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.6666666666666665,1.777777777777778,0.0,0.0,10.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,13.0,8.666666666666666,5.5555555555555545,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.3333333333333333,1.111111111111111,0.0,0.0,8.0,8.0,2.6666666666666665,3.5555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,4.0,2.6666666666666665,1.0,14.76875,29.48,14.71125,22.48125,5.141666666666667,14.76875,0.0,6.437,6.437,2.6313333333333335,2.5371111111111113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,194.0,130.0,150.66666666666666,57.77777777777778,64.0
9,76.13090000000078,Pd2 Se2 O6,8.0,46.0,38.0,20.8,15.360000000000003,8.0,62.0,89.0,27.0,82.4,8.159999999999997,87.0,15.9994,106.42,90.42060000000001,46.67564,36.811488,15.9994,54.8,1828.05,1773.25,497.2900000000001,532.304,54.8,10.0,16.0,6.0,14.8,1.9199999999999995,16.0,2.0,5.0,3.0,3.0,1.2,2.0,66.0,139.0,73.0,91.4,30.48,66.0,2.2,3.44,1.2399999999999998,3.0140000000000002,0.5111999999999999,3.44,0.0,2.0,2.0,1.6,0.6399999999999999,2.0,0.0,4.0,4.0,3.2,1.2799999999999998,4.0,0.0,10.0,10.0,4.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,10.0,8.8,3.3600000000000003,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.6,0.6399999999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.6,0.6399999999999999,2.0,9.105,25.92,16.815,13.529,5.3088,9.105,0.0,0.799,0.799,0.1598,0.25568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,55.0,68.0,12.0
